Stvarne_cijene,Predvidjene_cijene
10446.020508142858,10857.62959245133
10464.302455285713,10624.823617395796
10843.117048,10262.75731489453
10682.750837,10348.200549982108
10656.653738857143,10298.872829763306
11187.27399557143,10025.121939594917
11535.25892857143,10227.32682807533
13084.260463285715,10505.883365781503
13610.65499442857,11260.369079105427
15173.710798,11322.582167435623
16382.962332714285,11576.36843290819
18389.461495571428,11439.378024725524
18187.839844,12043.110061730691
19051.197544714287,11205.445221283313
18783.938895285715,11032.813402249536
23026.708426285713,11170.057489335444
25542.666294714287,11615.44638530619
31155.780134142853,11657.7138511056
37870.517299142855,11712.59970459764
36856.90736628572,11808.894126029432
32667.49637271429,11591.410546751253
33520.91127242857,11517.458870969627
40484.21261171428,11461.735021999468
47614.300223428574,11723.205763012882
53769.73549128572,11820.681169001706
47496.485491142856,11440.884896412936
50745.20424142857,11225.586566113976
57771.89508942857,11408.131814647406
57168.80357142857,11689.32300253592
55458.26953128572,11622.994045258773
58715.94810271428,10872.988092342253
59430.42912942857,11206.874184094075
59584.82812528572,11480.477807483428
52124.57254485715,10824.196233177487
55874.70703128572,11231.220708047362
57253.91294657143,11343.174813685908
46915.77455357143,11279.911855737433
37786.469866,11287.261893173634
36820.107142857145,11273.773206322323
36018.00390628572,11110.694725760753
38093.891183142856,10888.872952204692
35383.47628342857,10613.535381255737
33880.182756857146,9489.030009254431
34349.64676357143,10195.970405439997
33449.89871657143,10787.083104644284
31425.667968714286,10888.270583573028
34913.20842628572,10878.574728863046
40170.841518,11373.645735430528
43391.13002242857,11736.070228742736
46094.148437714284,11823.8355283978
48048.19308057143,11497.521799413109
48130.797433142856,11467.355862417327
49906.11774542857,11204.324093546147
45812.43080357143,11020.106654489487
46043.32645071428,11467.894573796118
42929.25167428572,11469.636122221733
47144.47935257143,11470.000963790437
55200.13281257143,11712.695665531077
60721.491071714285,11805.18110298126
62089.049107428575,11492.25344915668
61253.012276857145,11462.635724622209
63563.01116071428,10798.389392841127
63965.231027,11075.58347531417
58245.10881728572,11241.587339183141
56285.77120528572,11462.339290847634
52451.16462057143,11439.326718879925
48318.739955714285,11509.902660042779
47448.139508857144,11582.209698440476
49957.699219,11506.71979739913
46759.57198685715,10964.16618083791
42355.785156428574,11435.196598309196
42936.83314757142,11200.109413341004
37685.34988842857,11224.756171501873
37865.26674128572,11468.556799247648
41060.112723428574,11530.833544830717
43130.85044642857,11330.091823058132
41164.31933625,11545.175428892175
